timestamp,scenario_id,repeat_id,algorithm,n_nodes,n_edges,source,target,w_delay,w_rel,w_res,path_length,total_delay,rel_cost,res_cost,total_cost
2025-12-03T20:28:23,10,3,Q-Learning,250,12327,248,128,0.5,0.3,0.2,4,24.493562239198283,0.1670222287767388,3.7611026195076964,13.049108312133704
2025-12-03T20:28:23,10,3,SARSA,250,12327,248,128,0.5,0.3,0.2,5,31.733923187781432,0.17581876717996997,6.659139383185081,17.251535100681725
2025-12-03T20:28:23,10,4,Basit,250,12327,34,101,0.5,0.3,0.2,3,7.845066275866712,0.15525522097942435,3.2297899246927315,4.61506768916573
2025-12-03T20:28:24,10,4,Q-Learning,250,12327,34,101,0.5,0.3,0.2,3,21.875111801871544,0.09463383998286215,3.991789834123595,11.76430401975535
2025-12-03T20:28:24,10,4,SARSA,250,12327,34,101,0.5,0.3,0.2,5,29.66945481228642,0.2274538336367678,5.113402548698312,15.925644065973904
2025-12-03T20:28:24,10,5,Basit,250,12327,184,239,0.5,0.3,0.2,3,9.626471887670732,0.06852596386850228,3.6648147553781656,5.566756684071549
2025-12-03T20:28:25,10,5,Q-Learning,250,12327,184,239,0.5,0.3,0.2,10,57.139668866348,0.5263354713587566,28.580753498790543,34.44388577433973
2025-12-03T20:28:26,10,5,SARSA,250,12327,184,239,0.5,0.3,0.2,3,18.27594642051975,0.08506290488201393,2.956718320651517,9.754835745854782
2025-12-03T20:28:26,11,1,Basit,250,12511,13,195,0.5,0.3,0.2,3,10.780139510560765,0.14575978274807214,4.553852227422182,6.344568135589241
2025-12-03T20:28:26,11,1,Q-Learning,250,12511,13,195,0.5,0.3,0.2,3,15.386527515111446,0.15975770399551675,6.108281867917535,8.962847442337885
2025-12-03T20:28:27,11,1,SARSA,250,12511,13,195,0.5,0.3,0.2,3,14.923111094425167,0.10763873469381689,2.28246840178869,7.950340847978467
2025-12-03T20:28:27,11,2,Basit,250,12511,106,110,0.5,0.3,0.2,3,12.054842825886203,0.1093526986216599,2.6894279235283305,6.598112807235266
2025-12-03T20:28:28,11,2,Q-Learning,250,12511,106,110,0.5,0.3,0.2,3,12.054842825886203,0.1093526986216599,2.6894279235283305,6.598112807235266
2025-12-03T20:28:28,11,2,SARSA,250,12511,106,110,0.5,0.3,0.2,3,12.054842825886203,0.1093526986216599,2.6894279235283305,6.598112807235266
2025-12-03T20:28:28,11,3,Basit,250,12511,60,23,0.5,0.3,0.2,3,8.423908120853746,0.1862360088716073,6.06459418220537,5.4807436995294285
2025-12-03T20:28:29,11,3,Q-Learning,250,12511,60,23,0.5,0.3,0.2,4,27.471439194031927,0.1729026756989807,8.055717945128261,15.39873398875131
2025-12-03T20:28:29,11,3,SARSA,250,12511,60,23,0.5,0.3,0.2,4,20.208903050921467,0.20270299231639205,6.663929166993071,11.498048256554267
2025-12-03T20:28:29,11,4,Basit,250,12511,104,53,0.5,0.3,0.2,3,9.854644337264764,0.19347066241037617,3.7226829382451694,5.729899955004528
2025-12-03T20:28:30,11,4,Q-Learning,250,12511,104,53,0.5,0.3,0.2,2,14.887104488910058,0.0971652780423989,1.3629654097807762,7.745294909823904
2025-12-03T20:28:31,11,4,SARSA,250,12511,104,53,0.5,0.3,0.2,2,14.887104488910058,0.0971652780423989,1.3629654097807762,7.745294909823904
2025-12-03T20:28:31,11,5,Basit,250,12511,123,211,0.5,0.3,0.2,3,8.641483654370871,0.09357698718491006,4.520404037209254,5.252895730782759
2025-12-03T20:28:32,11,5,Q-Learning,250,12511,123,211,0.5,0.3,0.2,2,11.035244397774612,0.0818738633195416,3.8406321782650283,6.310310793536174
2025-12-03T20:28:33,11,5,SARSA,250,12511,123,211,0.5,0.3,0.2,2,11.035244397774612,0.0818738633195416,3.8406321782650283,6.310310793536174
2025-12-03T20:28:33,12,1,Basit,250,12450,88,79,0.5,0.3,0.2,3,7.679456253981083,0.19370894009830414,8.501991110136572,5.598239031047347
2025-12-03T20:28:34,12,1,Q-Learning,250,12450,88,79,0.5,0.3,0.2,2,11.5554105572396,0.10112061045900075,7.081704708088629,7.224382403375226
2025-12-03T20:28:34,12,1,SARSA,250,12450,88,79,0.5,0.3,0.2,2,11.5554105572396,0.10112061045900075,7.081704708088629,7.224382403375226
2025-12-03T20:28:34,12,2,Basit,250,12450,240,16,0.5,0.3,0.2,3,8.281512886577604,0.14928925599509313,2.638262361315564,4.713195692350443
2025-12-03T20:28:35,12,2,Q-Learning,250,12450,240,16,0.5,0.3,0.2,3,9.327476506326033,0.166486642862464,3.3318104062937275,5.3800463272805015
2025-12-03T20:28:35,12,2,SARSA,250,12450,240,16,0.5,0.3,0.2,3,9.327476506326033,0.166486642862464,3.3318104062937275,5.3800463272805015
2025-12-03T20:28:35,12,3,Basit,250,12450,28,29,0.5,0.3,0.2,3,11.827062823163313,0.12413910100137163,5.0313755169799785,6.957048245278063
2025-12-03T20:28:36,12,3,Q-Learning,250,12450,28,29,0.5,0.3,0.2,3,21.8053010967853,0.14234550755390055,3.806172192021191,11.706588639063057
2025-12-03T20:28:37,12,3,SARSA,250,12450,28,29,0.5,0.3,0.2,4,24.548315942631717,0.16916606927733152,8.513759759985774,14.027659744096212
2025-12-03T20:28:37,12,4,Basit,250,12450,65,198,0.5,0.3,0.2,3,10.06784529215916,0.15765944452577646,5.262561455682433,6.133732770573799
2025-12-03T20:28:38,12,4,Q-Learning,250,12450,65,198,0.5,0.3,0.2,2,13.516208770987532,0.0861454401944041,9.617201854506021,8.707388388453293
2025-12-03T20:28:38,12,4,SARSA,250,12450,65,198,0.5,0.3,0.2,5,24.67932732135986,0.21301070291810326,14.909157859504068,15.385398443456175
2025-12-03T20:28:38,12,5,Basit,250,12450,180,22,0.5,0.3,0.2,3,7.522410558072542,0.1438692270694521,3.997204075240199,4.603806862205147
